userName,score,at,content
Yudi Aprianto Dalle,5,2024-02-09 01:55:16,"Gamenya nge bug saat menjalankan story, sudah berkali-kali ku coba keluar masuk game tapi tetap sama, dan jadinya malah nge stak di situ terus"
Nurul Fitriani,3,2024-02-15 05:46:07,"sejak update 2.0 jadi sering banget force close :D sebel banget tiap lawan musuh, keluar sendiri. sebelumnya ga pernah kaya gini padahal, tolong segera diperbaiki"
Rava Geming,5,2024-02-21 02:23:47,"GAME RAMAH F2P, Terlebih lagi puzzle yang asik, gameplay yang menarik, graphic/resolusi gameplay, cutscenennya memanjakan mata, I like this game, dan juga jalan cerita yang sangat seru✨✨✨"
Mutiara Ananda Tallo Ullu,5,2024-02-09 02:55:31,Game nya seru story nya bagus gameplay simpel dan bisa di laksanakan saat sedang mengerjakan kegiatan lain karena fitur auto playnya soal nya aku ga begitu memfokuskan ke game play dan lebih kepenikmat story.
Khumaira Kandita,1,2024-02-10 04:11:46,"Waktu lagi asik main tiba-tiba keluar sendiri dari aplikasi, bukan sekali duakali tapi udah sering. Padahal sebelumnya baik-baik aja, tapi sesudah update jadi kek gini."
YC Herdian,3,2024-02-06 19:43:37,Setelah update game semakin besar size memng memuaskan tapi masih ada bug yaitu kadang keluar game dalam battle terus bug mesin ATM tidak terlihat mungkin itu saja yg saya temukan mohhon di Perbaiki
Muhammad Azis Ramadhan,5,2024-02-06 00:17:45,"Game nya bagus dari segi cerita, saya punya saran pertarungan game nya di banyakkan kemudian ada fitur lompat seperti di genshin impact... terimakasih developer."
Nicole,5,2024-02-18 15:38:00,"Ini game nya bagus banget,kalo aku gabud suka main game ini,overall ini udh bagus banget,dan omg danheng Lo ganteng banget gila💥Sebenarnya semua udh bagus cuman sayang nya ada 1 fitur yang sayangnya gaada di game ini,yaitu fitur lompat,tolong ditambahin ya fitur loncat atau orang yang main bisa loncat gitu🙏makashii"
Aisyah Putriana,5,2024-02-12 15:17:33,"Demi, love banget HSR!!! ❤❤ Beberapa kali aku tuh off lama, tapi selalu di buat excited soal update an nya, karakter baru, atau pun event baru. Terus juga hadiah nya banyakkk! Sebagai pemain F2P, aku suka bangettt!"
Prof. Edwin,5,2024-02-14 11:13:11,Tetap menjadi game favorit no 1 untuk genre RPG yg dimainkan sampai sekarang. Story mantap Design karakter keren2 Dan yg penting tdk kikir kyk kakak²nya
Oriza Thesalonika Nazara,3,2024-02-14 17:01:14,"gamenya bagus, cuma kadang pas mau masuk pertempuran suka keluar2 sendiri, jadinya harus loading gamenya dari awal lagi"
Nazjmi Alif,5,2024-02-11 15:53:30,"Gamenya seru dan rekomendasi untuk kalian yang mencari game yang sangat menyenangkan, Gameplay sangat seru dan menyenangkan. Hadiah banyak dan storiesnya sangat bagus. Semangat lah bermain para Trailblazer 🔥🔥"
Muflih Rafi Rabbani,5,2023-12-27 03:15:17,"Berdasarkan pengalaman saya bermain game ini, bisa dikatakan secara overall baik dari segi gameplay, desain menu, shortcut pada tampilan sudah oke, selain itu bagian dari pada bantuan mata uang game (stellar jade, spesial pass) sangat banyak namun memang pada beberapa device game ini agak kurang daripada loading saat memasuki game, terutama pada device yang speknya ngepas, dan untuk in game sendiri loading ketika akan memulai ataupun menyudahi pertarungan memang ada meski perangkat sudah bagus"
MUHAMAD RIFAI,5,2024-02-12 00:21:48,"Game elit, tapi ga berlaku buat hp mid.. Tolong adakan fitur buat download data game ya secara terpisah supaya tidak terlalu makan penyimpanan memori."
Eulis Tanuki,5,2023-11-20 04:51:36,"Sangat suka dengan game ini. Bermainnya pun bisa santai. Hadiah event beragam, paling suka kalau sudah dapat stellar jade banyak💕 Namun untuk mendapatkan karakter yang diinginkan harus bersabar. Gak selalu yang diinginkan bisa selalu dapat 🥲 Btw animasi ultimate dari karakter (di ponsel saya) jadi lebih smooth setelah update terbaru👍🏻✨️ Tapi untuk scene story masih ada yang lag, entah itu dari pengaturan gamenya yang belum saya perbaiki atau mungkin dari ponselnya saja ya? 🤔"
adnan,5,2024-02-11 13:01:32,"Gamenya sangat seru, ceritanya benar benar fun, wholesome, pokoknya menyentuh hati dah. Apalagi kemarin dikasih kafka pity 3 sama blackswan pity 72😍 Kurangnya mungkin gak ada skip dialog buat side quest..."
Rizky Bagus Sunarto,5,2024-03-04 15:09:44,"Wahai hoyoverse playermu ini berharap kalau update data event lama yg tidak berguna ada opsi bisa dihapus agar penyimpanan tidak menumpuk,ksian yg storage sekarat,dan kalau update efek baru,sprti MOC itu dll di optimasi dulu sebelum dirilis,kemarin yang propagation efek, skarang elation efek di pure fiction baru"
23 Muhammad Isfandiar,2,2024-03-13 10:11:58,"Untuk cerita dan hadiah ingame sudah bagus tp belakangan ini saya tidak bisa login ke ingame karena selalu keluar sendiri,mohon ini segera di fix agar saya bisa memainkan game ini kembali"
Janeeta Khanza,3,2024-02-21 11:40:44,"Saat melakukan banyak hal benda tersebut tidak ada, saat explorasi dinding dan lantai hilang. Tolong di betulkan hal-hal tersebut, sampai aku gak sanggup main."
Mei Dika,3,2024-03-20 11:49:58,"Bang kenapa yaa ini bug, map-nya GK ada susah lihat jalannya,harus kah aku main pake ultra insting?. Tolong ya di perbaiki bugnya😁😁"
MARU,5,2024-02-07 07:42:27,Game nya bagus banget gak ribet gameplay nya cuma butuh strategi aja cuman gacha Relic nya yang agak susah dan developer tambahin dong fitur batal ulti soalnya biasanya gak mau ulti malah kepencet jadi kaya agak susah aja
IqRa-kun,5,2024-03-01 17:38:56,"Tolong hoyo kalau misi kasih seimbangi lah elemen apa yg wajib dibawa, gua masih Trailblazer kecil. Kemarin pas misi bersama gua kewalahan lawan argenti disuruh bawa elemen physical sama es yg bikin repot malah serangganya counternya imaginary sama quantum🫠🫠"
Hanifa Azaria Rastya,2,2024-02-25 00:18:57,"game nya bagus, lah kok tiba tiba pas aku mau login malah cuma item doang? udah ku tunggu 15 menitan belum bisa ke lobby game nya"
ONEL DARK,3,2024-03-17 07:22:58,Tolong kenapa ya saya sudah bermain 1 Minggu sudah di penochia tapi pas menyelesaikan tugas hanu malah berhenti kaya loading screen nya stop pas relog eh gak bisa masuk layar hitam
Congor bebek 234 (Reyn),5,2023-12-27 15:05:40,"Overall bagus sih apalagi alur cerita awal awal ""kebekuan abadi"" udah di bikin takjub. Tapi yah, begitulah kira"" kalo player F2P😅 meski sabar nya tingkat impossible agar Char nya bisa Sakit/Max level. Tapi bener, ini emang bagus banget dari segi grafik, desain, bangunan, dunianya. Cuma yg aku kurang itu pas kita ngobrol sama beberapa karakter di tempat"" gitu gak ada voice cover nya"
Ahmad Dhani,5,2024-03-17 00:58:26,Kenapa ya pas aku setting grafik ke sangat rendah pas mau jalanin misi kek error gitu? Tapi pas di setting ke sangat tinggi malah lancar.Tolong di fix
Mukhtareta Shop,4,2024-03-02 16:13:30,Event yg TV nyangkut di tengah pertarungan. Kegitanan bisa juga error. Bergambar bintang kosong dan gak bisa di apa-apain lagi... ( ͡° ʖ̯ ͡°)
Nizar Tong,2,2024-03-18 15:46:29,"oyy mihoyo drip marketingnya jangan ngasal lahh harapan orang itu sam playable mending kalau mau drip mareketing karakter baru itu diinformasiin dulu kek kasian yang udah ngarep sam playable sama saran juga habis update 2.2 mending jadiin sam playable dengan elemen api dan path destruction terus ultimatenya kayak pas sam jadi boss aja dah 2 doang permintaan gue, mau karakter baru kek yang penting sam playable #ineedsambecomeplayable"
Oki Andreana Pradana,1,2024-02-10 10:52:56,"Setiap event pasti bosnya gak ngotak kalau bisa setiap mau melawan bos event bisa milih Level bosnya sebelum battle.Setiap nyerang damage yang diterima bos kecil.Padahal Bos Monster di main story masih bisa,tapi di setiap event bikin emosi ini yang bikin males main di story event"
Friskila Visi Pangelah,3,2024-03-02 12:35:21,Setelah update sering ngefreeze berkali kali kalau lagi battle mohon mungkin bisa ada solusinya atau perbaikannya
Navira Aura Zalika,1,2024-02-18 21:54:10,"Ntah kenapa sejak new update, launcher aplikasinya sering force close saat download data update, alhasil tidak bisa login sama sekali"
Akun gabut Shella,4,2024-02-18 02:02:37,"Game ya udh bagus tapi pas awal²mau main itu loading ya lama bgt sampe saya greget tolong diusahain loading ya cepet, (maaf klo ketikan saya membuat Anda tidak nyaman)"
Adi Mulyadi,1,2024-02-27 10:40:22,Game nya bagus tapi pas donwload gak bisa jadi hapus ajalah makan kuota banyak🙄Harus donwload lagi! Udah lama makan kuota banyak! Lagi!
Stevan Marvell,4,2024-02-19 03:27:42,"Bagian cutscene nya kurang, masih frame drop. tolong di perbaiki dev jangan mempermasalahnya spesifikasi soalnya genshin impact yang lebih berat aja cutscene nya masih lancar"
gamer game lover 17,1,2024-03-23 08:54:02,Ini game kenapa sih error jaringan mulu pas aku buka di jam 2 Siang error pas aku buka lagi jam 2 malam bagus kembali normal rusak ini game nya
Linda Natalia,1,2024-03-06 07:04:55,Baru mau mulai game aja loading Mulu gue nunggu hampir 1 jam 😭😠 bikin kasal Udah download lama lagi baru login lama lagi Maka dari itu aku kasih bintang 1 dan aku copot aplikasi game ini Tolong di perbaiki
Rezky Aditya,3,2023-12-26 00:34:12,"sudah mengatur grafis sampai yang paling rendah tetapi tetap saja jika ada cut scene pasti patah-patah dan suaranya pun ikut hancur bagaikan tv yg rusak, mohon kepada develeoper mihoyo perbarui dan perbaiki lah masalah ini, karna masalah ini membuat player tidak nyaman menjalankan story dan menggunakan grafis yg sangat rendah menghasilkan tampilan yg sangat buram dan itu sangat tidak membuat nyaman player🙏🏻"
Dafa Akmal,2,2024-02-04 07:36:54,"Asli serius setiap kali main game ini teyur kamera nya aku sorot dari atas lantai nya langsung ilang maksudnya ilang itu kayak tiba tiba kayak glich gitu tapi nggak jatuh apa stag cuman lantai nya aja yang ilang padahal aku buat main game gensin impact lumayan lancar lancar aja, Saya juga sudah hapus pasang game nya 4x tapi hasilnya sama aja, Tolong di perbaiki ya kalau memang ini bug saya sebenarnya suka banget sama game yang mekanik nya kayak game ini.... Tolong ya...☺️😊"
Darrane Ronaldo,3,2024-02-07 10:04:36,"Gamenya oke, dan gw mau komplain soal tombol update pas baru start di game, gw kira itu beneran buat update ternyata semua data gw di kuras dan harus download ulang datanya. Jadi menurut gw tombolnya jangan dibuat ""update"" tapi kalo bisa jadi ""restart data"" aja. Soalnya gua tertipu sama tombol itu dan harus download ulang data gw, sungguh tombol ga berfaedah. Padahal bisa restart data lewat setting. Ini malah dibuat di start gamenya terus pake tulisan ""update"",sekarang gw harus nunggu 1 jam lagi"
Yusuff,4,2024-02-04 16:54:24,"Menurut saya dari segi grafis sudah bagus,design charanya juga bagus, event nya pun juga banyak cuma ada beberapa yg kurang yaitu di bagian segi storynya yg menurut saya kurang berkesan dan terlalu biasa saja lalu ada beberapa hal lagi yg harus dioptimalkan agar membuat pengalaman bermain lebih baik..."
Gtwni Syp,5,2024-02-02 15:38:37,"Bagus, overall bagus. Jarang ada bug bug an, dsb. Bintang 5 nya untuk apk nya ya, ya karna belum nemu minus nya (ada sih barusan, tapi harus re-check besok. Soal gameplay, system game, dll.. Yahh.. Selera deh. Buatku pribadi ya bosan, karna aku main cuma gegara Dan Heng IL doang 😂 Jadi~ ini rate off ya, kalo kalah aka ga dapat danil, atau kalah nya bukan dapat yanqing, aku pensi saja 😂 apk nya tetep bagus, mantep, baik, aku nya yang ngga😂🙏"
Yehezkiel Kristiawan,4,2024-01-02 23:56:18,"Game nya bagus dan sangat keren rpgnya, mainnya juga santai. Tapi ini kenapa ya? Pas sebelum tahun Baru itu pas login gampang, tapi setelah itu langsung susah login, ngestak di mengunduh data/tiba tiba keluar sendiri, padahal sinyal aja bagus. Tolong di perbaiki ya🙏"
NNAA Nuron1205,3,2024-01-28 10:44:30,"Sementara B3 dlu ya.. Bagian Scenenya tolong di optimisasi lagi ya...Suaranya kresek Kresek 😭😭😭 dan juga kalau bisa juga ada ""fitur hapus Quest Terdahulu"" Agar gamenya tidak terlalu memenuhi memori hp Sekian Terima kasih kalau terealisasi nanti langsung B5 kok hehehe"
Naafi Zidan,4,2024-02-05 22:37:14,"Game nya bagus tapi pas cutscene sering frame drop ama suara nya patah patah🥲,kan sayang kalo cutscene nya badass tapi patah patah.....kalo bisa sih next update suara sama frame nya di benerin..overall keren👍....hadiah nya juga banyak gak kikir kayak game sebelah🤡"
Malf delrey,5,2024-01-13 00:57:13,"Awal mula main game ini ak sedikit bosan tp lama lama jadi seru and nagih bgt buat main, setiap nyelesain misi dpt achivment dll pasti bakalan dpt hadiah. Untuk grafik jg baguss tp terkadang fps nya ngedrop but its okay. Enjoy aja sih main game ini, jadi salah satu game favorit"
ayanechii0_0,4,2024-02-18 17:28:22,"aku sukaaak bangeet sama game hsr, mulai dri segi cerita, dan juga karakternya‼️‼️ Tapi sayangnya, klo dimainin di device aku itu selalu lemot dan grafiknya low bangeet T____T (jalan lambat, latar kosong, dll) jadi, aku harap kedepannya bisa diperbaiki hehe :33"
Arya Bisma,2,2024-02-15 12:04:59,Setelah update 2.0 hsr jadi sering force close saat mau memasuki pertarungan. Tolong untuk segera diperbaiki
Andre,5,2023-12-15 10:53:52,"Dari semua aku lihat...semua bagus...tetapi walau setting rendah... pemakaian baterai juga termasuk ""boros"" atau semacam itu...tidak bilang sangat boros dan intens cahaya juga bisa dibilang wajar untuk dilihat tidak rendah atau tinggi...dan kadang sering hangat hpnya... sepertinya itu saja dariku..."
Destia Nur,2,2024-03-20 05:06:41,Knp y?saya bermain honkai star rail tapi layarny berubah jd hitam?padahal beberapa aplikasi saya sudah beberapa saya hapus?tolong dong jelasin ini knpT^T
Noval Ardiansyah,5,2024-03-22 03:54:57,"Seru bingit gamenya sangat berwarna sehingga tidak mudah bosan, karakternya juga pada bagus semua dan lucu"
Wafik Nazmudin B,1,2024-02-15 18:30:55,"Ketika cutscene frame langsung drop aneh bgt pdhl pas main lancar, setelah update makin parah😭 malah sering force close"
Izza Mustholih Al Amin,5,2024-03-07 20:24:27,"Grafik ok, chara ok, gameplay ok, story mantap, kalo orang suka gam turn base ini wajib dicoba"
Rizky Uchiha,4,2024-02-07 02:28:35,Update terbaru ini Kenapa saya pas login sekarang error terus menerus tolong diperbaiki padahal ni game seru dan karakter pun bagus-bagus
Justhankyou,3,2024-02-08 00:11:47,Pas update Penacony latarnya putih semua. Terus sering tiba tiba keluar pas lagi main game nya. Kalau udah bener baru bintang 5
ruellgene,3,2024-02-03 17:09:55,"gamenya bagus sih. dari segi cerita, animasi, sound sampe karakter juga pada oke. terus engga pelit pelit banget kalau ngasih reward. cuma kalau tiap mau login sering banget error gitu, terus pas coba di game lain engga lho. sinyal pas main juga bagus, tolong diperbaiki ya."
Relita01 sihotang,5,2024-02-10 01:45:27,"Game ini bagus, karakter nya juga keren bangat tapi kalo bisa pas main di Honkai Star Rail nya bisa tidak kalo game ini tidak ngeleg?"
Richie Ricardho,5,2024-02-13 11:01:45,"Mantap banget ini game,di update map baru pasti ada mechanic baru yg bikin nggak bosen,apalagi hadiah nya,gas lah bintang 5"
Mario,5,2024-02-25 04:49:49,"Aku udah main 200 hari lebih. Game nya bagus banget dan gw juga suka game turn base, Yg gw rasa kurang ngak ada fitur Co-op nya mungkin nanti bisa di tambahkan."
Ari Adja,1,2024-02-27 21:00:09,Gamenya udah bagus cuma kurangnya itu gak bisa diskip bentar2 ngobrol bentar2 ngobrol gelutnya bentar banyakan bacot nih game capek kupencetin layar tolong lah kasih tombol skip
Luthfi kelva asywarsyah,5,2024-02-22 09:08:47,"terimakasih game baik, atas reward yang diberikan dalam game walaupun game ini turn base tapi bisa menawarkan fitur yang sangat keren, sehat sehat game baik"
Rin,5,2024-03-18 07:16:15,"game baik,bansos gacor ga kayak kakaknya udh 3th tp bansos nya gt² doang,turn base tpi gpp ttep asikk,chara nya ganteng/cantik😋,ada fitur auto battle dan ak suka bgtt,sehat sehat game baik😁"
Haikal Mulya,5,2024-03-13 11:58:20,"Please lah developer, tolong hidupkan lagi Firefly😭😭sama kalau di cutscene nya kenapa patah patah ya padahal kalau di Genshin lancar lancar aja"
Zeyn,5,2024-02-17 12:55:37,"Design characternya terbaik, storynya bagus bgt, animasi ultimatenya juga terbaik, event nya juga banyak :) sejauh ini, hsr jadi game terbaik yg pernah ku coba"
Novi Marwati,5,2024-03-08 10:49:42,"Selamat pagi game baik🙏, game ini sangat bagus‼️, banyak char yang cantik/ganteng dan unik😍, udh gitu banyak bansoss💯🤭, grafiknya pun HD🤩, sehat sehat game baik😇🤗"
idfc 911,4,2024-03-20 00:54:25,Semuanya udah bagus cuman jalan ceritanya agak kurang yg sehabis belobog itu terlalu dipaksa dan klo farming bisa nyatai cuman gampang bosen ajaa tapi sejauh ini selalu dikasih stellar jade😋😋
iniCHARLOTTE,1,2024-03-22 10:31:38,"Pensi pas banner ruan mei. Kesel aja sama game nya.. gacha ampas, nyari relic susah nya juga minta ampun. Lawan Bos makin susah relic & karakter ala kadarnya lama2 males maen"
Zi,1,2024-02-08 10:54:44,"Nvm, gw syok setelah firefly dan robin mati walau udh kena spoiler. Gampang banget ya buat matiin karakter. Gw cuma berharap kelanjutannya dikasih happy ending kyk firefly dan robin bangun dari mimpi dan tubuh asli mereka masih ada di suatu tempat di dunia nyata (seperti yg dialami MC ketika pertama kali ketemu Acheron dan juga yg dialami NPC di story Black Swan sama Sparkle.) Tapi kalo emang bad ending kyknya gw bakal skip gacha di banner firefly dan robin. Jadi ga semangat main lgi..."
Fridha Masya,1,2024-02-12 06:34:59,"Aku kena bug ngestuck dipembicaraan event bjirr, ini gmn mainnya. Padahal dah relog ato gak ganti hp. Pleasee tolong dong ini gmnn😓😓"
Aditya Permana Putra,5,2023-11-14 23:23:03,"Overall udah bagus, cuma masih terdapat bug kecil yaitu kadang kalo ngelag pas lagi story, suara dan pergerakan karajter ga sama/tidak seimbang gitu, dan seingat ku untuk fps nya masih kurang stabil pas lagi ngerjain story quest nya, sering terjadi penurunan fps/fps drop pas lagi quest story, dibagian bicara bicara nya, mohon ditingkatkan lagi yth hoyo"
Sean Filbert,5,2023-11-30 12:46:11,"The besttt lah game nih. Meskipun grafiknya agak ngeframe gara2 hp ga kuat, tapi storynya ga bosen sama sekali. Gameplay-nya pun seru, bisa minjam banyak karakter dari teman jg. Terima kasih hoyo😍😍😍"
octavia indrawati,1,2024-02-14 01:21:34,Game ini lama banget untuk masuk dan memulai game aku yg kemaren mau main malah lama banget padahal udah mengupdate lama lama tapi tetep aja gak dibuka ditingkatin lagi ya
Ganyu Nyatir,1,2024-03-07 16:12:08,Gatau dah ini bug atau apa .buff pure fiction phase 2 di versi 2.0 ini kok aneh katanya bakalan ada damage tambahan klo skor udah mencapai 100% giliran udah seratus persen malah ga turun itu buff dmg ga jelas bgt
Alvin Farhan,1,2024-02-22 02:00:53,"Ada apa ini honkai kok tidak bisa buat login, keterangan koneksi error padahal masih bisa buat internetan, gimana sih gajelas banget"
Adil Satria,4,2024-03-10 11:02:02,Game nya udah bagus tapi masih ada bug nya seperti pas mau ada dialog malah black screen atau ngefreez
Tri Nofiyani,4,2024-02-24 13:59:41,Game nya udah bagus tapi terkadang kalau habis lawan musuh layar nya kok gelap dan ga bisa di apa apain
Winterfall Gaming,5,2024-02-29 12:29:21,Adain fitur buat reset karakter ke level 1 dong biar bsa get back resource nya lagi. Kan lumayan.
laydia sari,5,2024-02-15 04:40:03,Maaf min menganggu saya udh level mentok LV 70 ya gpp gak ada hadiah lagi cuma bisa tidak saya minta tolong update kan movie ulang misi utama nya semua min saya lihat di Honkai impact bisa kita nonton ulang lagi biar gak bosen dan gak lupa kita sama jalan ceritanya min bisa tidak ya min maaf merepotkan ya
Rifkii Rmdn,5,2024-01-15 10:23:49,"Untuk gameplay, animasi, story dan character. Hoyoverse dah gak usah di tanya lah ya. Dan cukup baik dalam gift bansosnya untuk player yang baru instal seperti saya. Udah segitu aja hehe Edit: Satu hal lagi. Mohon untuk hoyoverse, cooldown waktu trailblazer pointnya dikurangin. 18 menit untuk satu poin itu terlalu lama"
Ma rio,1,2023-12-19 17:26:16,"Game nya susah sekali dimainkan , musuh musuh nya terlalu kuat dan susah dikalahkan .. apalagi sistem gachanya tidak jelas , saya selalu dapat hard pity dan mendapat karakter yang sudah pernah saya dapat.... Apalagi relicnya juga susah sekali dicari dan didapat , tolong dipermudah"
Fikri Hidayatullah,3,2024-02-04 09:31:16,"Gw pemain baru, awalnya baik-baik aja sih, tapi tiba-tiba di misi lawan Argenti di Astral Express, lagnya sangat parah sehingga gw harus restart paksa smartphone gw. padahal semua setting grafis dan fps semuanya sangat rendah, Semoga di update berikutnya bisa diperbaiki.~😊"
Muhammad Nur Rizal,4,2024-02-14 16:20:38,"Tolong kalo setiap cutscene dan loading screen selalu frame drop sampai suara ny kresek2 , tolong di fix min"
Raihansyah A.M,5,2024-03-20 20:59:02,TAA harus mati biar gak crash.masih kurang optimasi di s23 fe settingan very low masih belum 60 fps dan sering lag sedangkan genshin highest 60 fps lancar
Azka Ramadhan,4,2023-12-27 04:28:48,"Pada perilisan awal tidak ada masalah, namun pada update terbaru kali ini memaksa saya untuk mendownload ulang seluruh data yang sebelumnya sudah ada. Jadi tolong untuk segera di fix, karena setelahnya saya cek data tersebut double download, dan akhirnya menjadi 2 data yang sama (akhirnya saya hapus salah satunya). Tidak hanya satu kali, sebelumnya juga saya pernah mengalami hal serupa namun masih bisa di atasi dengan backup copy data yang sudah saya save di SD card.."
evri Nalin,5,2024-02-27 14:40:05,Game ny bagus pokok ny gak rugi deh klo download grafik ny sangad memanja kan mata untuk yg ga bisa download genshin mendg download game ini aja broo pokoknya mantep deh
Pandu Rizki Putra,5,2024-02-01 12:11:59,"Pertama kali nyobain genre game turn-based RPG. Genre game yg udah legend dan terkesan tua ini bisa dikemas semenarik mungkin sama hoyoverse. Visual dan background musicnya khas sekali game hoyoverse. Karena story game ini pastinya bakal panjang dan lama selesainya semoga aja alur ceritanya bisa tetep menarik dan event-event yg diadakan tetap fresh dan tidak monoton. PS: Sejauh ini udah 8 bulan main kontennya lumayan beragam, semoga terus berlanjut..."
Adam Frebiansah,3,2024-03-01 05:47:30,Apaan ini setiap kali aku login selalu gak bisa ini developer sengaja bikin aku marah atau gimana tolong perbaiki bug ini
Ahmad Bustomi,2,2024-02-06 04:54:00,"Kok semenjak update terbaru aplikasinya sering Force Close padahal memori internal masih lega, sinyal lancar"
Micchan,5,2024-02-25 14:26:16,"Ini game' seru bisa sambil santai main yh , pokoknya mantap untuk main ini game' cocok buat waktu luang 🥰🥰🥰☺️😊"
Michael valentino3937,3,2024-03-21 22:48:13,"Saat bermain game ini sebenernya bagus ,tp glich gedung gedung ,lantai itu ya parah lah glich nya ,tp saat perang lancar"
kang muel,4,2024-03-19 05:09:37,Kaka tolongin dong aku kan beli hp baru samsung a55 itu kan tipe baru tapi ga bisa main game ini pdhl ram 12 256 gb kmrn aku tanya ke service samsung katanya emg devoloper nya belom mendukung tipe hape baru jadi tlongin dong agar tipe baru samsung a55 tipe baru bisa main tolong dong di dukungin makasih
Felicia Ivana,5,2024-02-09 11:53:22,"suka sama gamenyaa, awal"" ku kira gamenya gabakal sesuai ekspektasiku ehh ternyata lumayanlahh nih gamee dan ga terlalu banyak memori :33"
Adi wijaya Putra,3,2024-02-13 04:04:05,Bisa di perbaiki story mision terbaru ada bug yg mengganggu pas story berlangsung... Terimakasih
Maria Agatha,4,2024-03-04 10:18:36,"Kerennn sihhh, tpi rada laggg di ponsel ku 🥲 ga ngebosenin... Karakter nya banyakin dong yg cantik dan wanita wanita strong"
Alif Saputra,5,2024-02-07 12:54:52,"Tolong tambahkan hapus data quest terdahulu seperti genshin biar tidak membangkak aku suka game ini , game ini sangat baik panjang panjang game baik 🥰"
habib jamrud,3,2024-01-04 11:54:49,"Tolong, saya menemukan bug dimana npc tidak muncul saat quest pengejaran roh, bagian : laporkan kepada kepala peneliti, sudah berbagai cara saya coba (relogin, teleport, cancel quest, tapi tetap npc nya tidak muncul padahal target quest harus interaksi dengan npc nya"
Anisa Maila,4,2024-02-09 10:34:47,"Minus dari game ini, kebanyakan story. Dan itu pun juga ada yang gak bisa di skip walaupun udah baca teksnya"
Farelja Jovander,2,2024-02-11 06:26:52,"Kecewa berat dev gimana gk kecewa 50 spin for nothing apa lah nih game, susah bqnget kah beri 1 bintang 5 udh event 50% tapi tetqp qjq gk dpt tqek banget cuk fruatasi grind8ng untuk gk dpt apa pun"
Yotsuba editz,5,2024-03-17 20:35:11,visual effect nya mantap sama jalan ceritanya mungkin bisa dibilang ini kualitasnya lebih bagus dari genshin
Gunzy & Valerina,5,2024-03-10 16:29:25,"Gameplay nya oke, grafisnya bagus.. Dan yang paling penting, Gamenya sangat Waifuable"
Qia,5,2024-01-01 05:28:22,"Bagus banget, suka banget, grafik nya mantap abis, cuma saran ku tolong ekspresi dan wajah karakter nya di perjelas dan di pertegas, wajah karakter kalau kena cahaya bibir nya gak keliatan seperti garis putus, terimakasih:D"
Finnen Lawrence,3,2024-02-18 13:24:11,Gamenya bagus tetapi mengapa Honkai Star Rail saya tidak bisa saya mainkan bahkan malah ngestuck di layar update dan sering keluar jika sudah terdownload 100 mb
Asrafli,4,2024-03-15 22:39:13,Musiknya ngebug. Masih aja pake musik di astral express padahal udah di lokasi lain
Iz Faiz,4,2024-02-09 15:17:07,"engine sering eror, jd kadang ga bisa buka game kadang force close. tolong segera diperbaiki"
Herman Wang,3,2024-02-10 11:06:45,"Semenjak update versi 2.0,mau masuk SU DLL pasti nge crash pas mau masuk ke dlm tolong di fix"
Muhamad Azis Abdilah,3,2024-02-16 00:53:10,Ada bug yang cukup kurang menyenangkan seperti terjebak didalam tangga di simulated univers swarm disaster dan terjadi cukup sering
REIZY Yoga ananta,5,2023-11-22 23:08:25,"Alhamdulillah game nya gak error lagi min udah grafik nya bagus top banget dah semoga versi 1.6 nya di lebih bagus sin lagi dan bisa mabar bersama teman, charakternya bagus bagus semua sesuai dengan elemen yang di cocok kan buat combo skil"
Akhmad Yusuf,1,2024-03-06 04:09:45,"TOLONG DI BACA, BANYAK BEREDAR AKUN CHEAT DENGAN LOGIN USERNAME ONLY, TOLONG DI BANNED, MEMBUAT PLAYER YG BERMAIN MURNI MERASA DI RUGIKAN JIKA GAME MUDAH DI CHEAT, SEPERTI CHEAT SPEED STORY, CHEAT DAMAGE, CHEAT INSTA KILL DLL"
Bright Win,5,2023-11-14 22:31:35,"Saya sangat menikmati game ini, dari segi grafik, story, karakter dan gameplay nya juga mudah di pahami. Karakter-Karakter baru yang keren membuat saya tidak bosan memainkan game ini.. Semoga bisa terus konsisten menyenangkan hati para player. Terimakasih"
Arif Saefulloh,5,2024-02-06 13:02:39,maaf saya mendapatkan bug dalam mode mimpi setiap kali saya mengaktifkan fitur baru untuk menyelesaikan puzzel aplikasi langsung frezz
Phelp Pillius,4,2023-12-30 12:18:54,"Overall game ini sudah bagus terutama mekanik dan gameplay yg unik dan beda game game hoyoverse lainnya, story yg dihadirkan juga bagus dengan puzzle dan musuh musuh yg cukup menantang game ini berhasil menyatukan unsur strategi dan open world yg cukup baik"
Nadya Zaira S.,5,2024-02-22 23:01:22,"ini game sesempurna itu woe😋😋😋 klenn juga hrs cobainn yya walau hrs nampung 18GB tpi jujur dri segi grafik ini ud trmasuk ultra menurut w,kendala jaringan tlg di benerin lg yya developer suka kluar sndiri wkt lgi lawan musuh nyaa [cry]🥲🥲🥲"
Bakmie Akian,1,2024-02-07 14:13:55,Game suka force close sendiri padahal perang saya sangat bagus dan optimal Perangkat yg saya gunakan samsung s23FE tapi suka force close sendiri Rusak nih game
Sept Rabbit,5,2024-03-11 00:22:18,"Game yang sangat bagus, yaaa walau agak patah patah kalau main (burik) karena HP kentang, tapi tetap bagus😎"
